Cell Type,Number of Samples,R²,Adjusted R²,F-statistic,P-value (F-test),High Influence Points,High Influence Ratio,Mean Cook's Distance,Max Cook's Distance,Status
Unswitched_Bm_CD1C,421,0.014857498615947873,0.0005800710596571834,1.040628541617193,0.3982469515694434,19,0.04513064133016627,0.002422871157903749,0.08320709108113661,Completed
Unswitched_Bm_IL6,421,0.04317316316471809,0.029306107558409566,3.1133619414548033,0.005395391583136716,19,0.04513064133016627,0.0022919666812800696,0.22293826421972177,Completed
DC1_CLEC9A,421,0.020772130497358043,0.006580422243696482,1.463680772326955,0.18921600867803157,15,0.035629453681710214,0.002159216020766304,0.10412133252231194,Completed
DC2_CD1C,421,0.0336003275881509,0.019594535234355948,2.3990308252033152,0.027297098956646948,16,0.03800475059382423,0.002306091507923188,0.061568819146485224,Completed
DC_CSF2RA,421,0.04055592000885522,0.02665093334231683,2.9166457315957732,0.008499385663061448,16,0.03800475059382423,0.0021697192863315844,0.0967429134732586,Completed
cMono_CD14,421,0.029370539303514964,0.015303445670232563,2.087889657180146,0.05359961892394007,17,0.040380047505938245,0.002328260647832783,0.053273935077188375,Completed
cMono_CXCL10,421,0.029499389379584184,0.01543416313870849,2.097327755301563,0.05253291618462497,10,0.023752969121140142,0.0016984960188042757,0.16162172420963095,Completed
cMono_IFI44L,421,0.020930317390921216,0.006740901700934554,1.475065488827112,0.18518497418084362,16,0.03800475059382423,0.001977423656527885,0.06961276333417737,Completed
cMono_IL1B,421,0.03133939448844403,0.017300834988276503,2.232379646079083,0.03929775356730318,15,0.035629453681710214,0.005375743495401156,1.2095022939615796,Completed
gdT1_TRDV1,421,0.3276563731924348,0.31791226265899175,33.62609363552252,4.875086711413893e-33,15,0.035629453681710214,0.0038107646805708006,0.6570847581674882,Completed
gdT2_GZMK,421,0.025936412247036134,0.011819548656413437,1.8372644943785392,0.09050924420441697,17,0.040380047505938245,0.003265499971531062,0.3375111022349042,Completed
gdT2_IL12RB2,421,0.0928453639617629,0.07969819532352751,7.062004490590077,3.576605495791329e-07,13,0.030878859857482184,0.0023365276947090465,0.17174110150713506,Completed
gdT2_GZMH,421,0.012576096004098258,-0.0017343953581612226,0.8788025292593916,0.5103309582969154,20,0.047505938242280284,0.0021244388934863563,0.19102833078480305,Completed
Inflamed_NK_dim_IFIT1,421,0.022106537407643345,0.00793416838456562,1.5598336009770917,0.157430171526546,24,0.057007125890736345,0.0034359049056760524,0.4768815273109496,Completed
intMono_GFRA2,421,0.03461953017311936,0.020628508871280427,2.474410511301938,0.02310248895558433,13,0.030878859857482184,0.0018889291405507027,0.15115612036501197,Completed
Mature_NK_dim_FCGR3A,421,0.02801509716780537,0.013928359445599559,1.9887569230201223,0.06609710018979606,21,0.0498812351543943,0.002075677463542549,0.057819287275513456,Completed
ncMono_C1QA,421,0.059295542658752365,0.045662144726270504,4.349285699163777,0.00028446958627353534,18,0.04275534441805225,0.0020540027780310156,0.09898542322746347,Completed
ncMono_FCGR3A,421,0.11488380705851808,0.10205603614632264,8.955866755407818,3.302907546205204e-09,22,0.052256532066508314,0.0026402201143038966,0.11635505991284191,Completed
ncMono_IFIT1,421,0.03512477518464019,0.02114107627427264,2.511837204861343,0.02125665826066638,18,0.04275534441805225,0.002177581733649437,0.10455660722042519,Completed
pDC_IRF4,421,0.06882329135046616,0.0553279767323569,5.099791542326332,4.556548062449406e-05,19,0.04513064133016627,0.002593535785097577,0.1418480831990949,Completed
pre-Switched_Bm_IFIT3,421,0.0160009653780655,0.0017401098038345442,1.1220200144918975,0.34848732416823947,11,0.026128266033254157,0.0018474131009337234,0.18786838907056372,Completed
pre-Switched_Bm_JAM3,421,0.02197027704828025,0.007795933237385699,1.5500031141754669,0.1604513328401759,29,0.0688836104513064,0.00269340441026692,0.13148589722900905,Completed
Terminal_NK_dim_CD160neg,421,0.016729193146241883,0.00247889159763659,1.1739536240115103,0.3191754206382851,18,0.04275534441805225,0.0029563378168773477,0.4486703733006775,Completed
Transitional_NK_GZMK,421,0.007938061568207533,-0.006439647684427285,0.5521089228280834,0.7683489843768148,15,0.035629453681710214,0.002128964802010325,0.07875643242565336,Completed
