"","celltype","interaction_p","male_beta","male_p","male_n","female_beta","female_p","female_n","sig_interaction","male_sig","female_sig","celltype_short"
"56","NKT_IFNG",0.943469061606505,1.16314544053203e-05,0.482319391766987,185,9.80967015769918e-06,0.59885988543581,236,"Without interaction","Non-significant","Non-significant","NKT_IFNG"
"57","NKT_NCR1",0.841499112321815,0.00100001146654884,0.000156954136973908,185,0.00106232043281854,3.62677229774598e-08,236,"Without interaction","Significant","Significant","NKT_NCR1"
"58","pDC_IRF4",0.062806488343309,-3.10932600737139e-05,0.0488346446638096,185,-7.10801593962702e-05,1.58627443187978e-06,236,"Without interaction","Significant","Significant","pDC_IRF4"
"59","Plasma_IGHA1",0.307082283616035,-2.89722313018335e-05,0.0926265016126744,185,-7.53349311330254e-06,0.556775939315326,236,"Without interaction","Non-significant","Non-significant","Plasma_IGHA1"
"60","Plasma_IGHG1",0.245107463877256,-1.97212991704309e-05,0.0525138610259887,185,-4.28727968722249e-06,0.620627590354158,236,"Without interaction","Non-significant","Non-significant","Plasma_IGHG1"
"61","Plasmablast_MKI67",0.190135000655297,-1.8150080174688e-05,0.058604150997028,185,-5.3328267405947e-06,0.224409419684181,236,"Without interaction","Non-significant","Non-significant","Plasmablast_MKI67"
"62","pre-Switched_Bm_IFIT3",0.981268481405347,-1.31804575042845e-06,0.256976282641056,185,-1.23168008860193e-06,0.692442066157457,236,"Without interaction","Non-significant","Non-significant","pre-Switched_Bm_IFIT"
"63","pre-Switched_Bm_JAM3",0.337343149837308,8.30964402856157e-06,0.672722995982576,185,3.52335769885188e-05,0.0708282864809661,236,"Without interaction","Non-significant","Non-significant","pre-Switched_Bm_JAM3"
"64","Proliferative_NK_MKI67",0.0431934565483015,1.94111913279284e-05,0.000345855944902156,185,7.85570052256355e-06,0.00625611787189367,236,"With interaction","Significant","Significant","Proliferative_NK_MKI"
"65","Proliferative_T_MKI67",0.902201045458582,1.43493150187159e-05,0.177698789993928,185,1.60250742449791e-05,0.067812571123587,236,"Without interaction","Non-significant","Non-significant","Proliferative_T_MKI6"
"66","Switched_activated_Bm_CD86",0.822001538034611,1.96763269597631e-05,0.257130805019573,185,2.49167749819225e-05,0.108914245347309,236,"Without interaction","Non-significant","Non-significant","Switched_activated_B"
"67","Switched_Bm_IGHDneg",0.264100698453398,-4.74842430534684e-05,0.27831203957813,185,1.83584006263143e-05,0.640301717070408,236,"Without interaction","Non-significant","Non-significant","Switched_Bm_IGHDneg"
"68","Switched_Bm_IGHE",0.0542922638905342,-3.320977429921e-05,0.041141378528656,185,1.01066671589429e-05,0.509064843259389,236,"Without interaction","Significant","Non-significant","Switched_Bm_IGHE"
"69","Terminal_NK_dim_CD160neg",0.1348640806809,-0.000176367654270968,0.0325976145204194,185,-5.19325173662083e-05,0.152411083459786,236,"Without interaction","Significant","Non-significant","Terminal_NK_dim_CD16"
"70","Transitional_B_MME",0.413214029806334,-2.58942260586992e-05,0.455743115626262,185,1.51876562217377e-05,0.665107032077113,236,"Without interaction","Non-significant","Non-significant","Transitional_B_MME"
"71","Transitional_NK_GZMK",0.142032587793002,2.650296380625e-05,0.301749964412399,185,-3.17046943996406e-05,0.269249756747053,236,"Without interaction","Non-significant","Non-significant","Transitional_NK_GZMK"
"72","Unswitched_Bm_CD1C",0.0235128585478884,-5.18690519538534e-05,0.00361048176043849,185,3.23330000619064e-06,0.843933228628298,236,"With interaction","Significant","Non-significant","Unswitched_Bm_CD1C"
"73","Unswitched_Bm_IL6",0.59222855906891,-4.34517055757043e-06,0.54309777545936,185,6.37823365553674e-07,0.915867271511032,236,"Without interaction","Non-significant","Non-significant","Unswitched_Bm_IL6"
