"","gene","interaction_F","interaction_p","male_age_beta","male_p","male_n","female_age_beta","female_p","female_n","overall_age_beta","overall_p","overall_n"
"1081","RPRD1B",0.0117839291608072,0.913616711038376,-1.53898593894231e-05,0.926642179651978,153,-3.96739948547593e-05,0.78606465415068,212,-2.79961683857646e-05,0.798526320423312,365
"1082","GALE",1.91260109170894,0.167529390512489,1.45767541544471e-05,0.92244072204245,153,0.000302877063018381,0.0308664606737669,212,0.000182471964867893,0.0757033658976071,365
"1083","CPOX",0.0573158823262781,0.810925592513582,8.2499933509509e-05,0.634994843481765,153,2.55099120683129e-05,0.871601531418122,212,4.96575085373242e-05,0.670477030936785,365
"1084","GTDC1",0.0109998522739965,0.916529133271203,-0.000141160584673623,0.413499396338264,153,-0.000165943568375117,0.290192991519658,212,-0.000156356407501883,0.177572636117682,365
"1085","MAPKBP1",0.31989772257619,0.572020478766231,-0.00010958463871458,0.521537768879158,153,3.69150739409283e-05,0.838343463766204,212,-2.10506819693983e-05,0.868390659017422,365
"1086","ZNF587",0.686780349951153,0.407809246176367,-0.000104714389574358,0.607454246463254,153,0.000117443323013593,0.497856713814991,212,3.07970037301587e-05,0.815019824054429,365
"1087","YPEL1",0.0136076589632716,0.907200798832627,-2.9408609149084e-05,0.886090135730782,153,-5.95501351794661e-05,0.712388965664791,212,-4.47559680062239e-05,0.723913362362694,365
"1088","FBXL6",1.3190197337606,0.251528483925914,0.000431239693875814,0.0371071771212476,153,0.000143376528114176,0.348006830274684,212,0.000264573783574483,0.0322566805820273,365
"1089","SLAMF8",3.61663969854381,0.0580001380355506,6.00014290516226e-05,0.830437248915903,153,0.000744700927097183,0.00129784269651696,212,0.000460630302422668,0.00976938855867717,365
"1090","TMEM229B",0.452464461880244,0.50159726399977,0.00031522712156039,0.0670435140977813,153,0.000138427177766154,0.453694218475003,212,0.000198845509264761,0.126352223077087,365
"1091","MAL",0.888755920462668,0.346445128573258,-0.000344942736392082,0.350460574760057,153,-0.000851273801701676,0.021562790606007,212,-0.000676096093955274,0.0116808933391065,365
"1092","HMGB3",1.40808737100932,0.236154482170718,-2.05174686577297e-05,0.910577495531549,153,0.000273071077325545,0.09471927906192,212,0.000145810235116394,0.232109663148276,365
"1093","FAM210A",0.327978724871234,0.56720822528522,-7.49222762724962e-05,0.660244352231655,153,5.50680746811081e-05,0.709590050430212,212,7.3608175899097e-06,0.947381646156377,365
"1094","CYSLTR2",0.0754473256199344,0.783721706539334,0.000232079764639402,0.340742212701203,153,0.000153857847409551,0.356015969835224,212,0.000191150950043248,0.172013388664721,365
"1095","AUTS2",0.41398134366739,0.520364122943343,2.20080385534895e-05,0.915817042633863,153,-0.000143662801827692,0.365559647794301,212,-6.87732177282879e-05,0.587186141829611,365
"1096","RAB3IP",0.446479649406016,0.504438456737926,-2.89994961440829e-05,0.871816970679663,153,0.000126314229289452,0.394868471379932,212,6.47126088990684e-05,0.570437453607643,365
